Log ID;Eğitmen ID;Kurs ID;Kurs Başlığı;İşlem / Aksiyon;Model;Girdi Token;Çıktı Token;Düşünce (Thinking) Token;Toplam Token;Maliyet ($ USD);Maliyet (₺ TL);İşlem Detayı / Yanıt Açıklaması;Tarih / Saat
1774;3;-;-;enrich_topics;gemini-2.5-flash;2171;1838;435;4444;0.006334;0.2154;Kurs: 'Sıfırdan Python Kursu' | Dil: python | 11 konu;2026-09-10T22:12:30.153845
1773;3;-;-;distribute_topics;gemini-3.1-flash-lite;1187;471;0;1658;0.001003;0.0341;;2026-09-10T22:12:27.855249
1772;3;-;-;suggest_raw_topics;gemini-3.1-flash-lite;953;246;0;1199;0.000607;0.0206;;2026-09-10T22:12:23.175663
1756;3;-;-;suggest_raw_topics;gemini-3.1-flash-lite;953;221;0;1174;0.000570;0.0194;;2026-09-10T21:31:04.651049
1755;3;-;-;shrink_slide_texts;gemini-3.1-flash-lite;1112;580;0;1692;0.001148;0.0390;Kurs: 'Sıfırdan Python Kursu' | Sığdırılan metin: 11;2026-09-09T20:39:55.279443
1754;3;-;-;generate_lesson_slides;gemini-2.5-flash;8385;10977;857;20219;0.032100;1.0914;Kurs: 'Sıfırdan Python Kursu' | Ders 5: 'Dosya & Nesne Yönelimli Prog' | Modül Sayısı: 7;2026-09-09T20:39:51.552046
1753;3;-;-;shrink_slide_texts;gemini-3.1-flash-lite;1580;934;0;2514;0.001796;0.0611;Kurs: 'Sıfırdan Python Kursu' | Sığdırılan metin: 21;2026-09-09T20:38:58.879549
1752;3;-;-;generate_lesson_slides;gemini-2.5-flash;8359;6758;1021;16138;0.021955;0.7465;Kurs: 'Sıfırdan Python Kursu' | Ders 4: 'Fonksiyonlar, Modüller' | Modül Sayısı: 7;2026-09-09T20:38:51.091067
1751;3;-;-;shrink_slide_texts;gemini-3.1-flash-lite;1230;662;0;1892;0.001301;0.0442;Kurs: 'Sıfırdan Python Kursu' | Sığdırılan metin: 12;2026-09-09T20:38:14.298261
1750;3;-;-;generate_lesson_slides;gemini-2.5-flash;8379;5496;868;14743;0.018424;0.6264;Kurs: 'Sıfırdan Python Kursu' | Ders 3: 'Döngüler ve Veri Koleksiyonları' | Modül Sayısı: 7;2026-09-09T20:38:11.059581
1749;3;-;-;shrink_slide_texts;gemini-3.1-flash-lite;1467;840;0;2307;0.001627;0.0553;Kurs: 'Sıfırdan Python Kursu' | Sığdırılan metin: 16;2026-09-09T20:37:40.563673
1748;3;-;-;generate_lesson_slides;gemini-2.5-flash;8369;7195;1022;16586;0.023053;0.7838;Kurs: 'Sıfırdan Python Kursu' | Ders 2: 'Aritmetik & Kontrol Akışı' | Modül Sayısı: 7;2026-09-09T20:37:37.420138
1747;3;-;-;shrink_slide_texts;gemini-3.1-flash-lite;1036;548;0;1584;0.001081;0.0368;Kurs: 'Sıfırdan Python Kursu' | Sığdırılan metin: 10;2026-09-09T20:37:00.824826
1746;3;-;-;generate_lesson_slides;gemini-2.5-flash;8368;4413;877;13658;0.015735;0.5350;Kurs: 'Sıfırdan Python Kursu' | Ders 1: 'Python'a Giriş, Veri Tipleri' | Modül Sayısı: 7;2026-09-09T20:36:56.427411
1745;3;-;-;generate_roadmap_structure;gemini-2.5-flash;1682;939;823;3444;0.004910;0.1669;Kurs: 'Sıfırdan Python Kursu' (0 Ders İskeleti);2026-09-09T20:35:27.615383
1744;3;-;-;distribute_topics;gemini-3.1-flash-lite;1209;500;0;1709;0.001052;0.0358;;2026-09-09T20:35:17.50094
1743;3;-;-;suggest_raw_topics;gemini-3.1-flash-lite;953;266;0;1219;0.000637;0.0217;;2026-09-09T20:35:14.436295
1742;3;-;-;generate_roadmap_structure;gemini-2.5-flash;1736;1499;902;4137;0.006523;0.2218;Kurs: 'Excel Kursu' (0 Ders İskeleti);2026-09-09T18:45:14.90231
1741;3;-;-;distribute_topics;gemini-3.1-flash-lite;1270;558;0;1828;0.001154;0.0392;;2026-09-09T18:45:09.796599
1740;3;-;-;suggest_raw_topics;gemini-3.1-flash-lite;943;331;0;1274;0.000732;0.0249;;2026-09-09T18:45:03.909316
1739;-;9;Sıfırdan Python Kursu;challenge_coach;gemini-2.5-flash;567;43;0;610;0.000278;0.0095;UYGULA Koçu (quality, deneme 9);2026-09-09T18:32:49.175459
1738;-;9;Sıfırdan Python Kursu;challenge_coach;gemini-2.5-flash;567;52;0;619;0.000300;0.0102;UYGULA Koçu (quality, deneme 8);2026-09-09T18:32:23.104538
1737;-;9;Sıfırdan Python Kursu;challenge_coach;gemini-2.5-flash;548;58;0;606;0.000309;0.0105;UYGULA Koçu (diff, deneme 7);2026-09-09T18:31:56.278832
1736;-;9;Sıfırdan Python Kursu;challenge_coach;gemini-2.5-flash;543;78;0;621;0.000358;0.0122;UYGULA Koçu (diff, deneme 6);2026-09-09T18:31:42.507752
1735;-;9;Sıfırdan Python Kursu;challenge_coach;gemini-2.5-flash;545;54;0;599;0.000298;0.0101;UYGULA Koçu (diff, deneme 5);2026-09-09T18:30:54.538495
1734;-;9;Sıfırdan Python Kursu;challenge_coach;gemini-2.5-flash;595;45;0;640;0.000291;0.0099;UYGULA Koçu (diff, deneme 4);2026-09-09T18:30:40.085497
1733;-;9;Sıfırdan Python Kursu;challenge_coach;gemini-2.5-flash;531;55;0;586;0.000297;0.0101;UYGULA Koçu (diff, deneme 3);2026-09-09T18:30:29.07545
1732;-;9;Sıfırdan Python Kursu;challenge_coach;gemini-2.5-flash;519;68;0;587;0.000326;0.0111;UYGULA Koçu (diff, deneme 2);2026-09-09T18:29:41.666283
1731;-;9;Sıfırdan Python Kursu;challenge_coach;gemini-2.5-flash;528;49;0;577;0.000281;0.0096;UYGULA Koçu (diff, deneme 1);2026-09-09T18:29:23.008369
1730;-;9;Sıfırdan Python Kursu;challenge_coach;gemini-2.5-flash;515;63;0;578;0.000312;0.0106;UYGULA Koçu (quality, deneme 1);2026-09-09T18:28:35.364716
1729;-;9;Sıfırdan Python Kursu;challenge_check;gemini-2.5-flash;570;28;0;598;0.000241;0.0082;UYGULA ölçüt değerlendirmesi;2026-09-09T18:28:33.711077
1728;3;-;-;shrink_slide_texts;gemini-3.1-flash-lite;1265;656;0;1921;0.001300;0.0442;Kurs: 'Sıfırdan Python Kursu' | Sığdırılan metin: 15;2026-09-09T18:20:27.531866
1727;3;-;-;generate_lesson_slides;gemini-2.5-flash;8448;8363;887;17698;0.025659;0.8724;Kurs: 'Sıfırdan Python Kursu' | Ders 2: 'Kontrol Yapıları ve Döngüler' | Modül Sayısı: 11;2026-09-09T18:20:24.847646
1726;3;-;-;shrink_slide_texts;gemini-3.1-flash-lite;1594;969;0;2563;0.001852;0.0630;Kurs: 'Sıfırdan Python Kursu' | Sığdırılan metin: 25;2026-09-09T18:19:43.764782
